SJ7	27.18	19.81	0.00		SJ_3
SJ8	45.72	19.81	0.00		SJ_3
U1	-41.26	-0.68	90.00	USD-SOCKETNEW	MICRO-SD-SOCKET-PP
U3	25.65	2.41	0.00	MP2565DN	ESOP8L-1.27-5X3.9MM
VD1	-38.61	-31.50	90.00	USBLC6-2	SOT23-6
VR1	-28.45	23.90	0.00		TRIMPOT_BOURNS3MM
VR2	-9.91	23.90	0.00		TRIMPOT_BOURNS3MM
VR3	8.64	23.90	0.00		TRIMPOT_BOURNS3MM
VR4	27.18	23.90	0.00		TRIMPOT_BOURNS3MM
VR5	45.72	23.90	0.00		TRIMPOT_BOURNS3MM
